,wikidataid,label,en_site,nl_site,Number_entities_nl,Number_entities_en,Number_entities_nl_pure,Number_entities_en_pure
0,Q422208,Wageningen University & Research,[[Wageningen University & Research]],[[Wageningen University & Research]],102,123,155,178
1,Q2291320,University of Nijmegen (1655–1680),[[University of Nijmegen (1655–1680)]],[[Kwartierlijke Academie van Nijmegen]],66,27,88,37
2,Q632004,Radboud University Nijmegen,[[Radboud University Nijmegen]],[[Radboud Universiteit]],270,256,361,361
3,Q1293929,University of Franeker,[[University of Franeker]],[[Universiteit van Franeker]],99,87,129,118
4,Q221653,Utrecht University,[[Utrecht University]],[[Universiteit Utrecht]],149,111,189,151
5,Q156598,Leiden University,[[Leiden University]],[[Universiteit Leiden]],244,259,298,316
6,Q1137652,Maastricht University,[[Maastricht University]],[[Universiteit Maastricht]],479,389,617,468
7,Q1711630,University of Humanistic Studies,[[University of Humanistic Studies]],[[Universiteit voor Humanistiek]],62,12,72,11
8,Q850730,University of Groningen,[[University of Groningen]],[[Rijksuniversiteit Groningen]],292,333,357,449
9,Q2725923,Catholic University of Utrecht,[[Catholic University of Utrecht]],[[Katholieke Theologische Universiteit Utrecht]],39,12,48,10
10,Q214341,University of Amsterdam,[[University of Amsterdam]],[[Universiteit van Amsterdam]],97,334,109,475
11,Q2105549,Saba University School of Medicine,[[Saba University School of Medicine]],[[Saba University School of Medicine]],10,62,11,74
12,Q752663,Delft University of Technology,[[Delft University of Technology]],[[Technische Universiteit Delft]],255,401,347,521
13,Q1960654,Protestant Theological University,[[Protestant Theological University]],[[Protestantse Theologische Universiteit]],29,29,47,43
14,Q2668892,Transnational University Limburg,[[Transnational University Limburg]],[[Transnationale Universiteit Limburg]],13,41,15,45
15,Q1516779,Nyenrode Business University,[[Nyenrode Business University]],[[Nyenrode Business Universiteit]],52,69,73,78
16,Q2347687,Theological University of the Reformed Churches,[[Theological University of the Reformed Churches]],[[Theologische Universiteit Kampen (Broederweg)]],107,45,140,45
17,Q1663974,Theological University of Apeldoorn,[[Theological University of Apeldoorn]],[[Theologische Universiteit Apeldoorn]],98,57,142,84
18,Q1547084,University of Twente,[[University of Twente]],[[Universiteit Twente]],122,130,175,150
19,Q1407397,Open University of the Netherlands,[[Open University of the Netherlands]],[[Open Universiteit]],127,43,161,33
20,Q1816221,University of Harderwijk,[[University of Harderwijk]],[[Universiteit van Harderwijk]],53,47,68,50
21,Q280824,Eindhoven University of Technology,[[Eindhoven University of Technology]],[[Technische Universiteit Eindhoven]],129,282,184,355
22,Q1065414,Vrije Universiteit Amsterdam,[[Vrije Universiteit Amsterdam]],[[Vrije Universiteit Amsterdam]],89,341,108,398
